level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,5113,5064,-1.0,
2,1,1,0,0,0,26,81,5069,4942,-1.0,
3,1,1,1,0,0,66,81,5029,698,-1.0,
4,1,1,1,1,0,66,81,5028,89,-1.0,
5,1,1,1,1,1,66,84,148,68,91.285965,"2,031"
5,1,1,1,1,2,309,81,157,68,83.566536,"2,460"
5,1,1,1,1,3,584,81,104,53,96.483902,424
5,1,1,1,1,4,807,83,101,54,93.196335,607
5,1,1,1,1,5,980,83,150,67,91.21209,"1,058"
5,1,1,1,1,6,1250,82,101,54,93.25544,988
5,1,1,1,1,7,1422,81,150,67,92.067795,"1,187"
5,1,1,1,1,8,1645,82,150,66,91.583336,"1,319"
5,1,1,1,1,9,1881,83,154,68,89.402214,"4,735"
5,1,1,1,1,10,2170,92,103,55,93.285553,548
5,1,1,1,1,11,2341,97,150,66,91.759712,"2,465"
5,1,1,1,1,12,2592,98,66,53,96.409149,24
5,1,1,1,1,13,2758,95,101,55,92.996727,728
5,1,1,1,1,14,2926,95,153,68,91.767181,"1,860"
5,1,1,1,1,15,3164,100,154,68,92.836205,"4,848"
5,1,1,1,1,16,3417,102,155,68,92.096115,"8,384"
5,1,1,1,1,17,3672,101,151,67,86.123871,"7,070"
5,1,1,1,1,18,3924,95,150,67,91.28022,"9,322"
5,1,1,1,1,19,4174,92,151,66,92.456131,"7,202"
5,1,1,1,1,20,4406,90,183,66,91.418175,"23,594"
5,1,1,1,1,21,4692,89,66,54,96.68058,90
5,1,1,1,1,22,4826,91,102,54,95.882118,210
5,1,1,1,1,23,4994,93,100,55,95.516083,213
4,1,1,1,2,0,149,286,4946,79,-1.0,
5,1,1,1,2,1,149,290,67,53,96.564934,19
5,1,1,1,2,2,396,286,69,55,95.906189,25
5,1,1,1,2,3,620,289,67,53,95.666412,23
5,1,1,1,2,4,839,290,68,52,96.765381,44
5,1,1,1,2,5,1062,288,66,53,94.89389,13
5,1,1,1,2,6,1285,289,65,53,96.708267,17
5,1,1,1,2,7,1508,289,65,54,96.46534,12
5,1,1,1,2,8,1729,290,65,54,96.636566,16
5,1,1,1,2,9,1968,293,67,53,96.776619,78
5,1,1,1,2,10,2208,302,63,53,96.35392,16
5,1,1,1,2,11,2423,305,68,54,96.663918,44
5,1,1,1,2,12,2626,305,31,54,95.767372,6
5,1,1,1,2,13,2791,303,66,54,96.668915,29
5,1,1,1,2,14,3012,303,66,54,95.004135,72
5,1,1,1,2,15,3250,308,66,55,95.879753,66
5,1,1,1,2,16,3471,309,101,56,95.381958,154
5,1,1,1,2,17,3756,307,59,54,96.278923,91
5,1,1,1,2,18,3980,305,92,53,96.033363,177
