level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,5,8,1684,510,32,48,93.298447,2
5,1,1,1,5,9,1821,541,64,4,92.852028,-
5,1,1,1,5,10,2044,542,63,4,91.319115,-
5,1,1,1,5,11,2233,543,62,4,92.77449,-
5,1,1,1,5,12,2422,543,63,5,92.70533,-
5,1,1,1,5,13,2695,513,30,51,97.017746,6
5,1,1,1,5,14,2917,514,32,51,97.013176,8
5,1,1,1,5,15,3139,511,33,53,97.016563,4
5,1,1,1,5,16,3363,514,31,48,97.015068,6
5,1,1,1,5,17,3552,510,33,52,96.770699,2
5,1,1,1,5,18,3695,507,26,52,93.227249,1
5,1,1,1,5,19,3798,542,63,4,92.192383,-
5,1,1,1,5,20,3955,543,63,5,93.015747,-
5,1,1,1,5,21,4109,533,58,10,92.905128,-
4,1,1,1,6,0,165,569,4003,66,-1.0,
5,1,1,1,6,1,165,569,33,51,91.310532,9
5,1,1,1,6,2,370,569,67,52,96.511894,42
5,1,1,1,6,3,643,571,32,53,97.00544,7
5,1,1,1,6,4,881,574,33,53,96.564133,5
5,1,1,1,6,5,1103,576,32,52,96.866119,5
5,1,1,1,6,6,1309,577,32,51,96.778633,2
5,1,1,1,6,7,1499,577,28,52,97.005371,1
5,1,1,1,6,8,1683,575,34,53,93.30056,4
5,1,1,1,6,9,1823,610,63,5,87.231567,-
5,1,1,1,6,10,2045,611,63,5,92.598816,-
5,1,1,1,6,11,2233,612,62,4,92.931267,-
5,1,1,1,6,12,2422,613,63,4,93.231834,-
5,1,1,1,6,13,2662,583,65,51,95.960205,13
5,1,1,1,6,14,2882,583,59,52,64.611557,43
5,1,1,1,6,15,3141,581,32,52,96.627251,9
5,1,1,1,6,16,3363,582,31,52,96.529808,5
5,1,1,1,6,17,3522,580,63,53,93.292488,14
5,1,1,1,6,18,3660,612,64,5,92.636536,-
5,1,1,1,6,19,3798,613,62,5,92.834747,-
5,1,1,1,6,20,3989,581,32,51,93.277023,2
5,1,1,1,6,21,4109,602,59,11,92.684486,-
4,1,1,1,7,0,130,636,4037,70,-1.0,
5,1,1,1,7,1,130,636,62,54,96.932632,41
5,1,1,1,7,2,370,638,68,53,96.293045,80
5,1,1,1,7,3,608,641,68,54,95.437782,38
5,1,1,1,7,4,854,643,60,53,96.558197,18
5,1,1,1,7,5,1070,644,67,53,93.232834,22
5,1,1,1,7,6,1276,677,62,5,90.41436,-
5,1,1,1,7,7,1496,646,34,53,96.521797,5
5,1,1,1,7,8,1686,645,27,51,93.277977,1
5,1,1,1,7,9,1822,680,64,5,91.697418,-
5,1,1,1,7,10,2078,649,30,51,96.490227,9
5,1,1,1,7,11,2233,649,60,53,96.106644,11
5,1,1,1,7,12,2422,650,65,53,96.701637,15
5,1,1,1,7,13,2660,651,67,54,96.873734,45
5,1,1,1,7,14,2883,653,68,53,96.281105,90
5,1,1,1,7,15,3106,651,67,54,96.100914,23
5,1,1,1,7,16,3329,651,65,53,95.687424,28
5,1,1,1,7,17,3519,652,67,54,96.3022,30
5,1,1,1,7,18,3692,651,33,53,93.194176,3
5,1,1,1,7,19,3797,684,65,5,92.990036,-
5,1,1,1,7,20,3955,683,65,6,91.864487,-
5,1,1,1,7,21,4110,671,57,12,93.196396,-
4,1,1,1,8,0,165,707,4002,68,-1.0,
5,1,1,1,8,1,165,708,33,50,97.020622,8
5,1,1,1,8,2,371,707,64,53,96.949112,12
5,1,1,1,8,3,641,710,34,54,96.303864,5
5,1,1,1,8,4,848,744,64,5,90.025391,-
5,1,1,1,8,5,1071,746,65,5,92.602989,-
5,1,1,1,8,6,1276,745,64,8,92.160309,-
5,1,1,1,8,7,1464,747,64,5,91.360512,-
5,1,1,1,8,8,1652,746,64,4,93.192917,-
5,1,1,1,8,9,1856,718,29,51,96.418037,1
5,1,1,1,8,10,2045,750,63,5,89.603958,-
5,1,1,1,8,11,2265,719,32,53,93.304054,3
5,1,1,1,8,12,2422,752,64,5,91.149651,-
5,1,1,1,8,13,2694,722,35,53,95.528931,8
5,1,1,1,8,14,2918,724,32,51,76.376305,9
5,1,1,1,8,15,3140,722,34,53,96.692131,4
5,1,1,1,8,16,3331,754,64,5,90.473953,-
5,1,1,1,8,17,3521,754,64,5,90.706093,-
5,1,1,1,8,18,3660,753,64,5,92.328964,-
5,1,1,1,8,19,3798,754,65,5,92.685463,-
5,1,1,1,8,20,3955,753,65,7,93.035172,-
5,1,1,1,8,21,4111,739,56,14,92.969551,-
4,1,1,1,9,0,48,912,4119,87,-1.0,
5,1,1,1,9,1,48,912,151,65,91.904991,"1,783"
5,1,1,1,9,2,286,915,151,65,91.78524,"3,997"
5,1,1,1,9,3,524,916,152,67,88.869194,"2,168"
5,1,1,1,9,4,766,920,149,66,91.354622,"1,738"
5,1,1,1,9,5,988,921,148,67,92.46579,"1,531"
5,1,1,1,9,6,1192,922,151,66,91.42823,"1,374"
5,1,1,1,9,7,1431,923,98,52,96.611862,155
5,1,1,1,9,8,1617,922,101,54,95.977814,224
5,1,1,1,9,9,1823,925,64,53,92.779655,14
5,1,1,1,9,10,1964,926,146,67,92.578194,"1,456"
5,1,1,1,9,11,2150,928,147,67,92.478638,"1,063"
5,1,1,1,9,12,2339,930,151,68,84.914513,"1,027"
5,1,1,1,9,13,2580,931,150,65,90.738632,"1,910"
5,1,1,1,9,14,2798,931,151,67,92.600815,"4,241"
5,1,1,1,9,15,3021,932,152,65,91.809456,"2,501"
5,1,1,1,9,16,3245,931,151,68,89.99559,"2,164"
5,1,1,1,9,17,3437,932,151,66,89.379517,"1,054"
5,1,1,1,9,18,3661,965,64,4,91.731956,-
5,1,1,1,9,19,3800,966,63,5,93.124916,-
5,1,1,1,9,20,3957,965,63,6,92.30088,-
5,1,1,1,9,21,4110,946,57,15,93.069298,-
4,1,1,1,10,0,134,982,4032,74,-1.0,
5,1,1,1,10,1,134,982,64,52,96.575684,12
5,1,1,1,10,2,371,984,65,53,96.281281,27
5,1,1,1,10,3,644,987,32,52,97.004875,6
5,1,1,1,10,4,884,989,24,52,96.822052,1
5,1,1,1,10,5,1107,992,28,51,97.007004,1
5,1,1,1,10,6,1312,994,28,51,92.224716,1
5,1,1,1,10,7,1465,1024,64,5,92.224716,-
5,1,1,1,10,8,1653,1024,62,5,92.47789,-
5,1,1,1,10,9,1824,1028,63,4,92.47789,-
5,1,1,1,10,10,2079,998,29,52,97.018593,4
5,1,1,1,10,11,2267,997,30,53,97.016701,4
5,1,1,1,10,12,2457,999,32,52,96.801346,3
5,1,1,1,10,13,2697,1001,31,51,96.782776,9
5,1,1,1,10,14,2884,1001,68,52,96.187332,24
5,1,1,1,10,15,3142,1003,33,51,96.923615,4
5,1,1,1,10,16,3333,1003,63,52,96.731285,11
5,1,1,1,10,17,3524,1004,64,52,96.342567,13
5,1,1,1,10,18,3698,1003,26,51,93.289413,1
5,1,1,1,10,19,3800,1037,64,5,91.117332,-
5,1,1,1,10,20,3957,1035,65,6,92.293854,-
5,1,1,1,10,21,4111,1015,55,15,92.798027,-
4,1,1,1,11,0,133,1052,4035,74,-1.0,
5,1,1,1,11,1,133,1052,66,52,96.243431,16
5,1,1,1,11,2,371,1053,68,55,96.18869,35
5,1,1,1,11,3,609,1056,68,53,96.559402,20
5,1,1,1,11,4,882,1058,34,53,96.799004,4
5,1,1,1,11,5,1074,1060,60,54,96.442299,11
5,1,1,1,11,6,1311,1063,30,52,96.899315,1
5,1,1,1,11,7,1498,1060,27,53,96.77916,1
5,1,1,1,11,8,1686,1064,33,50,92.933929,5
5,1,1,1,11,9,1824,1098,64,4,92.652199,-
5,1,1,1,11,10,2081,1067,28,51,96.984238,1
5,1,1,1,11,11,2268,1069,30,50,96.461784,6
5,1,1,1,11,12,2456,1071,30,51,97.022156,7
5,1,1,1,11,13,2663,1070,68,52,96.532494,18
5,1,1,1,11,14,2886,1072,67,53,96.749527,35
5,1,1,1,11,15,3110,1072,66,54,96.783905,14
5,1,1,1,11,16,3366,1073,32,52,96.950424,3
5,1,1,1,11,17,3555,1072,34,52,96.337364,9
5,1,1,1,11,18,3696,1072,31,53,96.417015,6
5,1,1,1,11,19,3836,1074,26,52,96.649208,1
5,1,1,1,11,20,3991,1075,33,51,92.961349,2
5,1,1,1,11,21,4111,1084,57,15,92.537842,-
4,1,1,1,12,0,100,1120,4068,125,-1.0,
5,1,1,1,12,1,100,1120,100,53,95.708313,134
5,1,1,1,12,2,337,1122,101,52,95.757607,329
5,1,1,1,12,3,576,1126,101,52,95.096191,153
5,1,1,1,12,4,849,1128,66,52,96.193329,36
5,1,1,1,12,5,1070,1131,68,52,95.755798,53
5,1,1,1,12,6,1276,1130,67,54,96.354385,44
5,1,1,1,12,7,1497,1131,33,52,96.208321,5
5,1,1,1,12,8,1654,1131,63,53,96.204918,16
5,1,1,1,12,9,1855,1134,34,53,96.930557,4
5,1,1,1,12,10,2045,1136,60,52,96.469627,21
5,1,1,1,12,11,2233,1137,65,53,96.207207,35
5,1,1,1,12,12,2422,1137,67,54,96.592949,54
5,1,1,1,12,13,2630,1139,101,54,96.74543,144
5,1,1,1,12,14,2850,1142,101,53,96.502548,331
5,1,1,1,12,15,3077,1143,98,52,96.269096,139
5,1,1,1,12,16,3332,1175,64,5,11.905327,=
5,1,1,1,12,17,3523,1175,64,4,77.658066,3
5,1,1,1,12,18,3662,1174,65,5,60.215057,5
5,1,1,1,12,19,3801,1177,64,4,48.946236,>
5,1,1,1,12,20,3958,1174,65,7,71.399315,-
5,1,1,1,12,21,4111,1153,57,92,78.754944,6
4,1,1,1,13,0,132,1191,3892,84,-1.0,
5,1,1,1,13,1,132,1191,65,50,93.708771,21
5,1,1,1,13,2,371,1192,68,53,96.952286,50
5,1,1,1,13,3,611,1194,63,53,95.021576,31
5,1,1,1,13,4,851,1197,66,52,96.905136,19
5,1,1,1,13,5,1071,1199,68,53,94.890984,25
5,1,1,1,13,6,1310,1201,34,52,96.620285,5
5,1,1,1,13,7,1498,1200,32,52,96.18103,3
5,1,1,1,13,8,1685,1201,33,51,93.299683,3
5,1,1,1,13,9,1824,1235,64,5,91.875252,-
5,1,1,1,13,10,2045,1206,62,51,96.221344,21
5,1,1,1,13,11,2234,1206,65,52,95.643295,28
5,1,1,1,13,12,2424,1208,65,52,96.609001,19
5,1,1,1,13,13,2665,1210,64,52,96.957268,16
5,1,1,1,13,14,2881,1191,71,84,96.792038,44
5,1,1,1,13,15,3111,1212,63,52,96.843567,17
5,1,1,1,13,16,3335,1215,63,51,95.207436,10
5,1,1,1,13,17,3522,1213,67,51,93.669052,22
5,1,1,1,13,18,3663,1213,65,51,96.698624,12
5,1,1,1,13,19,3836,1215,27,51,96.807854,1
5,1,1,1,13,20,3991,1212,33,52,96.667236,5
